File Name,Date Modified,Date Created,Kind,Size (bytes),Path
index.html,2015-03-17 02:34:27 +0000,2015-03-06 20:39:00 +0000,Html Text,11406,/Users/xzw117/Sites/d3_Geo/mymap/index.html
interactiveOrthographic.html,2015-03-09 03:48:56 +0000,2015-03-06 20:39:00 +0000,Html Text,1716,/Users/xzw117/Sites/d3_Geo/mymap/interactiveOrthographic.html
jQueryMap,2015-02-25 04:22:29 +0000,2015-02-25 03:12:52 +0000,Folder,0,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap
css,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Folder,0,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/css
bootstrap.min.css,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Css,100470,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/css/bootstrap.min.css
style.css,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Css,6035,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/css/style.css
data,2015-02-25 03:49:04 +0000,2015-02-25 03:12:52 +0000,Folder,0,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data
2015-02-24.dump.countrylist.net.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,20792,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/2015-02-24.dump.countrylist.net.csv
2015-02-24.dump.countrylist.net.sql,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Structured Query Language File,34479,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/2015-02-24.dump.countrylist.net.sql
Flags_gif.zip,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Zip Archive,168893,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/Flags_gif.zip
Flags_png_255.zip,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Zip Archive,213140,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/Flags_png_255.zip
GDP_2013.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,9659,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/GDP_2013.csv
GDP_2013.xls,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Microsoft Excel 97-2004 Worksheet,68096,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/GDP_2013.xls
GDP_2014.pdf,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Portable Document Format (Pdf),77737,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/GDP_2014.pdf
GenderGap_GDPAGE.xlsx,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Office Open Xml Spreadsheet,72081,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/GenderGap_GDPAGE.xlsx
GenderGap_Wrold.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,28001,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/GenderGap_Wrold.csv
MarAge_06-14_13Countries.png,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Portable Network Graphics Image,619376,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/MarAge_06-14_13Countries.png
World GDP per capita by country_2000_2011.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,16242,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/World GDP per capita by country_2000_2011.csv
countries-20140629.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,6591,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/countries-20140629.csv
countries-20140629.xlsx,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Office Open Xml Spreadsheet,17868,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/countries-20140629.xlsx
countries.geo.json,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Json,253670,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/countries.geo.json
dump_countrylist.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,24259,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/dump_countrylist.csv
gendergap13c1.csv,2015-02-25 03:48:20 +0000,2015-02-25 03:46:14 +0000,Comma-Separated Values,4958,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/gendergap13c1.csv
nationalities.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,1942,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/nationalities.csv
wod.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,28002,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/wod.csv
wod_fix.csv,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Comma-Separated Values,28001,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/wod_fix.csv
~$GenderGap_GDPAGE.xlsx,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Office Open Xml Spreadsheet,171,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/data/~$GenderGap_GDPAGE.xlsx
jQueryMap.html,2015-03-09 04:13:57 +0000,2015-02-25 03:12:52 +0000,Html Text,2040,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/jQueryMap.html
js,2015-02-25 03:50:19 +0000,2015-02-25 03:12:52 +0000,Folder,0,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js
bootstrap.min.js,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Javascript,29165,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js/bootstrap.min.js
d3.geo.projection.v0.min.js,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Javascript,44174,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js/d3.geo.projection.v0.min.js
d3.v3.min.js,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Javascript,146657,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js/d3.v3.min.js
javascript.js,2015-02-25 03:12:52 +0000,2015-02-25 03:12:52 +0000,Javascript,8268,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js/javascript.js
javascript2.js,2015-03-09 04:07:00 +0000,2015-02-25 03:12:52 +0000,Javascript,3165,/Users/xzw117/Sites/d3_Geo/mymap/jQueryMap/js/javascript2.js
